Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-11-07,WIPRO,EQ,366.0,366.0,371.0,365.55,366.55,367.85,368.71,1112101,41004173530000.0,16955,631104,0.5675
2012-11-08,WIPRO,EQ,367.85,364.9,376.5,295.0,374.6,375.4,368.63,2353477,86756942290000.0,34002,1310943,0.557
2012-11-09,WIPRO,EQ,375.4,375.45,378.05,369.25,370.2,370.8,373.31,934742,34894944455000.0,27098,532287,0.5694
2012-11-12,WIPRO,EQ,370.8,370.2,373.1,367.05,368.85,368.75,369.72,718907,26579334930000.0,29606,465272,0.6472
2012-11-13,WIPRO,EQ,368.75,370.0,372.7,367.1,368.1,369.2,369.79,126767,4687679895000.0,2808,39531,0.3118
2012-11-15,WIPRO,EQ,369.2,368.2,369.35,360.25,361.0,361.75,362.48,564971,20479146410000.0,16823,329806,0.5838
2012-11-16,WIPRO,EQ,361.75,361.0,365.8,358.0,359.0,359.1,362.66,576259,20898827575000.0,18473,304750,0.5288
2012-11-19,WIPRO,EQ,359.1,358.35,362.4,355.15,358.05,358.15,358.04,625297,22388257600000.0,13587,400666,0.6408
2012-11-20,WIPRO,EQ,358.15,361.0,363.8,356.2,363.0,361.75,360.97,666353,24053293120000.0,18063,380626,0.5712
2012-11-21,WIPRO,EQ,361.75,361.6,368.0,360.9,367.0,366.8,364.56,663865,24201580055000.0,13746,349633,0.5267000000000001
2012-11-22,WIPRO,EQ,366.8,368.15,372.6,366.3,371.0,370.8,370.54,714417,26471758415000.0,11731,370340,0.5184000000000001
2012-11-23,WIPRO,EQ,370.8,372.0,375.65,365.0,365.55,366.85,369.19,715712,26423535850000.0,15115,349655,0.48850000000000005
2012-11-26,WIPRO,EQ,366.85,368.0,376.7,367.0,375.5,375.45,373.48,1394205,52070515095000.0,19749,855684,0.6137
2012-11-27,WIPRO,EQ,375.45,376.0,380.65,375.65,377.05,378.95,378.11,1851454,70004873245000.01,23287,1214223,0.6558
2012-11-29,WIPRO,EQ,378.95,377.55,389.85,377.25,386.5,386.35,384.07,2879682,110600409415000.02,34844,1842191,0.6397
2012-11-30,WIPRO,EQ,386.35,385.3,396.0,384.85,393.0,393.25,390.49,1954671,76328108285000.0,43957,1314492,0.6725
2012-12-03,WIPRO,EQ,393.25,393.1,397.45,393.0,394.5,394.6,394.94,1192332,47089863415000.0,30916,808980,0.6785
2012-12-04,WIPRO,EQ,394.6,395.1,399.95,385.55,386.05,388.1,392.8,1058222,41567019800000.0,20170,607080,0.5737
2012-12-05,WIPRO,EQ,388.1,388.55,391.15,378.9,381.45,380.95,381.85,1392648,53178809945000.0,28516,801928,0.5758
2012-12-06,WIPRO,EQ,380.95,382.65,383.0,375.2,380.6,379.85,377.38,1026705,38745587945000.0,21897,497762,0.48479999999999995
2012-12-07,WIPRO,EQ,379.85,382.65,382.65,378.5,380.0,380.2,380.44,844806,32140135110000.004,16601,493552,0.5842
2012-12-10,WIPRO,EQ,380.2,389.85,390.0,381.0,381.5,382.1,384.71,1212089,46629736380000.0,26052,553390,0.45659999999999995
2012-12-11,WIPRO,EQ,382.1,384.5,387.9,374.3,378.8,379.55,383.05,1205955,46193769520000.0,28604,714199,0.5922
2012-12-12,WIPRO,EQ,379.55,381.4,385.5,371.7,374.4,374.8,378.98,1596796,60514932920000.01,28136,977358,0.6121
2012-12-13,WIPRO,EQ,374.8,374.8,379.4,372.75,375.25,373.6,376.16,1035697,38958721220000.0,24803,628921,0.6072
2012-12-14,WIPRO,EQ,373.6,372.35,377.7,372.35,376.0,375.95,375.72,772091,29008948614999.996,15476,482785,0.6253000000000001
2012-12-17,WIPRO,EQ,375.95,377.0,378.0,366.4,370.6,370.2,369.42,1145735,42325606170000.0,29260,724037,0.6319
2012-12-18,WIPRO,EQ,370.2,370.75,379.5,367.95,376.0,375.85,373.2,1219440,45509107190000.0,28048,691632,0.5672
2012-12-19,WIPRO,EQ,375.85,377.05,387.1,374.55,385.75,386.15,382.24,935909,35774333370000.0,29490,550319,0.588
2012-12-20,WIPRO,EQ,386.15,387.5,391.0,379.15,380.5,382.05,384.85,1187991,45719555055000.0,29788,570545,0.4803
2012-12-21,WIPRO,EQ,382.05,378.3,383.9,377.1,378.5,379.45,380.36,818384,31128196014999.996,19300,478140,0.5842
2012-12-24,WIPRO,EQ,379.45,380.15,386.9,380.15,385.7,385.95,383.91,572444,21976626705000.0,18970,326759,0.5708
2012-12-26,WIPRO,EQ,385.95,384.1,385.85,381.55,385.3,385.05,383.87,716105,27489173370000.0,13158,400067,0.5587
2012-12-27,WIPRO,EQ,385.05,387.5,388.0,382.25,385.6,385.5,385.6,1349300,52029156080000.0,18449,912706,0.6764
2012-12-28,WIPRO,EQ,385.5,386.15,392.95,386.15,392.05,392.05,390.58,781501,30523968100000.0,18545,493908,0.632
2012-12-31,WIPRO,EQ,392.05,393.7,398.5,392.6,393.6,394.5,396.54,2328104,92319508185000.0,18595,1792410,0.7698999999999999
2013-01-01,WIPRO,EQ,394.5,396.05,399.0,391.15,396.5,396.9,395.54,796404,31500567239999.996,10335,483215,0.6067
2013-01-02,WIPRO,EQ,396.9,398.3,399.25,391.7,395.0,393.75,394.51,856196,33778064414999.996,19421,523908,0.6119
2013-01-03,WIPRO,EQ,393.75,395.5,399.0,393.85,397.55,397.8,396.47,1742438,69082695190000.0,23528,1406387,0.8070999999999999
2013-01-04,WIPRO,EQ,397.8,398.9,404.9,397.65,403.95,403.65,403.16,1699278,68508600220000.01,35786,1063728,0.626
2013-01-07,WIPRO,EQ,403.65,403.75,408.5,403.05,403.6,404.95,406.38,1249633,50783176620000.0,23283,873109,0.6987000000000001
2013-01-08,WIPRO,EQ,404.95,402.9,404.75,395.6,397.5,398.15,400.27,1094727,43818737990000.0,27035,747227,0.6826000000000001
2013-01-09,WIPRO,EQ,398.15,398.25,400.9,393.55,397.45,397.05,396.64,1438598,57060062090000.0,29668,1058207,0.7356
2013-01-10,WIPRO,EQ,397.05,398.8,405.8,393.5,394.0,395.6,400.58,1857422,74404706860000.0,22233,1391794,0.7493000000000001
2013-01-11,WIPRO,EQ,395.6,406.0,422.8,404.55,420.0,419.95,414.0,4507551,186610449870000.0,68509,2292453,0.5086
2013-01-14,WIPRO,EQ,419.95,423.05,424.9,417.35,418.7,419.15,420.89,1580960,66541400900000.0,31628,666689,0.4217
2013-01-15,WIPRO,EQ,419.15,421.5,423.6,417.0,421.2,420.95,420.0,976940,41031215455000.0,24057,506330,0.5183
2013-01-16,WIPRO,EQ,420.95,421.0,425.0,416.3,419.8,419.95,420.5,1542323,64854256179999.99,26204,1038542,0.6734
2013-01-17,WIPRO,EQ,419.95,424.0,436.5,422.4,432.7,430.7,431.38,3904977,168452528910000.0,62440,2286120,0.5854
2013-01-18,WIPRO,EQ,430.7,438.0,439.6,395.25,396.0,397.35,409.32,8013521,328007227005000.0,99539,3285629,0.41000000000000003
2013-01-21,WIPRO,EQ,397.35,401.05,401.8,393.25,397.5,397.55,396.32,2877914,114057740250000.0,62964,1441485,0.5009
2013-01-22,WIPRO,EQ,397.55,398.15,403.25,395.9,397.4,398.75,399.64,2226337,88973357755000.0,28832,1412487,0.6344
2013-01-23,WIPRO,EQ,398.75,397.25,402.95,396.95,401.9,401.75,400.71,1547877,62024770665000.0,24765,1029783,0.6653
2013-01-24,WIPRO,EQ,401.75,402.0,408.0,401.8,404.8,404.95,405.12,1478239,59886826715000.0,25779,815200,0.5515
