Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-10-01,INFY,EQ,2534.95,2551.3,2620.2,2549.0,2608.5,2609.65,2592.48,1103286,286024300765000.0,48341,650073,0.5892000000000001
2012-10-03,INFY,EQ,2609.65,2605.25,2619.15,2560.5,2573.0,2578.25,2586.82,977953,252978811344999.97,53428,507069,0.5185000000000001
2012-10-04,INFY,EQ,2578.25,2575.1,2594.9,2557.05,2578.0,2575.65,2572.79,895535,230402523869999.97,37469,535868,0.5984
2012-10-05,INFY,EQ,2575.65,2585.0,2585.0,2060.55,2526.5,2526.85,2515.49,1454000,365751873185000.0,53549,527450,0.3628
2012-10-08,INFY,EQ,2526.85,2524.8,2542.9,2460.0,2488.25,2488.2,2500.87,1009680,252507926860000.0,80255,657600,0.6513
2012-10-09,INFY,EQ,2488.2,2505.0,2550.0,2484.0,2529.0,2536.25,2513.62,1135540,285431856605000.0,59574,720267,0.6343
2012-10-10,INFY,EQ,2536.25,2507.1,2528.15,2489.6,2490.0,2504.15,2509.13,741513,186055045285000.0,39546,382248,0.5155
2012-10-11,INFY,EQ,2504.15,2496.0,2580.05,2481.2,2529.8,2533.2,2527.65,1870800,472872069995000.0,88438,763189,0.4079
2012-10-12,INFY,EQ,2533.2,2350.0,2447.85,2311.0,2390.0,2395.35,2380.01,7087722,1686885432160000.0,322668,2103252,0.2967
2012-10-15,INFY,EQ,2395.35,2385.7,2412.0,2352.8,2363.75,2365.6,2380.82,1848765,440157679080000.0,103396,927193,0.5015
2012-10-16,INFY,EQ,2365.6,2379.9,2389.0,2347.0,2356.0,2355.7,2371.03,910256,215824758069999.97,43346,462132,0.5077
2012-10-17,INFY,EQ,2355.7,2376.05,2379.0,2357.25,2369.95,2370.15,2365.97,713415,168791799255000.0,41618,414473,0.5810000000000001
2012-10-18,INFY,EQ,2370.15,2364.0,2397.0,2345.1,2369.95,2377.6,2371.43,1274072,302137658500000.0,65612,805855,0.6325000000000001
2012-10-19,INFY,EQ,2377.6,2366.0,2397.0,2366.0,2388.0,2383.35,2381.07,1367150,325528512430000.0,82129,948889,0.6940999999999999
2012-10-22,INFY,EQ,2383.35,2368.25,2398.0,2368.25,2385.95,2385.55,2389.2,570858,136389244725000.0,29880,343668,0.6020000000000001
2012-10-23,INFY,EQ,2385.55,2362.0,2384.0,2350.0,2351.0,2353.1,2360.74,592893,139966347630000.0,37012,364351,0.6145
2012-10-25,INFY,EQ,2353.1,2343.0,2357.1,2330.15,2340.0,2344.75,2343.25,1407097,329718246745000.0,70207,1092667,0.7765000000000001
2012-10-26,INFY,EQ,2344.75,2334.7,2344.8,2321.05,2324.2,2329.6,2333.22,427536,99753606045000.0,25330,242697,0.5677000000000001
2012-10-29,INFY,EQ,2329.6,2321.0,2339.0,2307.3,2338.0,2335.5,2323.94,592083,137596672545000.0,33256,349168,0.5897
2012-10-30,INFY,EQ,2335.5,2326.0,2365.0,2326.0,2354.0,2358.35,2355.71,716032,168676568305000.0,25735,518823,0.7245999999999999
2012-10-31,INFY,EQ,2358.35,2350.0,2374.5,2345.55,2365.0,2363.0,2362.52,814665,192466609610000.0,24460,615660,0.7556999999999999
2012-11-01,INFY,EQ,2363.0,2362.0,2370.0,2341.1,2365.75,2364.65,2357.77,876372,206628320815000.0,39682,660936,0.7542
2012-11-02,INFY,EQ,2364.65,2371.0,2404.6,2369.1,2390.0,2388.1,2390.35,881152,210625927730000.0,43993,614982,0.6979000000000001
2012-11-05,INFY,EQ,2388.1,2383.1,2390.6,2367.5,2390.6,2378.45,2375.32,619900,147246393495000.0,27217,478184,0.7714
2012-11-06,INFY,EQ,2378.45,2384.0,2406.5,2371.25,2385.0,2381.65,2388.75,851971,203514933265000.0,40713,618162,0.7256
2012-11-07,INFY,EQ,2381.65,2382.0,2414.0,2375.05,2406.3,2404.4,2401.83,586908,140965114430000.0,32911,322974,0.5503
2012-11-08,INFY,EQ,2404.4,2372.0,2384.55,2365.0,2375.0,2375.3,2372.55,653645,155080416655000.0,37332,464755,0.711
2012-11-09,INFY,EQ,2375.3,2365.0,2365.0,2345.0,2353.15,2348.7,2350.01,742365,174456194470000.0,36783,550499,0.7415
2012-11-12,INFY,EQ,2348.7,2355.0,2369.0,2333.55,2361.0,2358.95,2355.61,462024,108835043500000.0,33009,309843,0.6706000000000001
2012-11-13,INFY,EQ,2358.95,2354.0,2360.0,2333.0,2335.15,2338.3,2343.82,70407,16502142415000.0,4698,31654,0.4496
2012-11-15,INFY,EQ,2338.3,2335.15,2337.0,2278.8,2294.5,2296.3,2292.59,1141631,261729600785000.0,68215,838515,0.7345
2012-11-16,INFY,EQ,2296.3,2291.0,2387.0,2291.0,2336.9,2343.35,2353.91,1711638,402904924790000.0,88339,1224798,0.7156
2012-11-19,INFY,EQ,2343.35,2344.0,2381.2,2336.65,2360.5,2358.55,2356.61,504516,118894722420000.0,36159,284130,0.5632
2012-11-20,INFY,EQ,2358.55,2377.15,2377.15,2312.8,2327.95,2324.75,2327.31,680038,158265698735000.0,48892,373896,0.5498
2012-11-21,INFY,EQ,2324.75,2329.7,2363.9,2321.4,2350.0,2349.85,2346.69,873726,205036051270000.0,32745,664811,0.7609
2012-11-22,INFY,EQ,2349.85,2348.0,2392.0,2335.0,2382.0,2382.6,2373.33,728414,172876886245000.0,39042,433281,0.5948
2012-11-23,INFY,EQ,2382.6,2382.0,2399.0,2357.05,2374.0,2377.55,2376.55,434717,103312851350000.0,20214,254759,0.5860000000000001
2012-11-26,INFY,EQ,2377.55,2390.75,2421.0,2390.75,2415.0,2417.4,2405.16,473507,113885774020000.0,30204,259685,0.5484
2012-11-27,INFY,EQ,2417.4,2422.0,2480.0,2421.85,2464.8,2470.65,2458.27,714663,175683440915000.0,35029,386502,0.5408
2012-11-29,INFY,EQ,2470.65,2450.0,2459.25,2426.5,2436.0,2445.25,2442.27,1295637,316429348250000.0,77217,922163,0.7117
2012-11-30,INFY,EQ,2445.25,2441.6,2476.45,2425.05,2436.0,2436.85,2444.54,881339,215446874160000.0,47657,554573,0.6292
2012-12-03,INFY,EQ,2436.85,2437.0,2453.0,2424.35,2434.35,2439.15,2437.65,650373,158538096005000.0,45554,465720,0.7161
2012-12-04,INFY,EQ,2439.15,2429.0,2447.0,2415.0,2432.15,2437.45,2433.21,563786,137180714959999.98,51948,324349,0.5753
2012-12-05,INFY,EQ,2437.45,2429.0,2430.0,2377.5,2388.3,2382.5,2391.53,1749378,418368325545000.0,77062,1259418,0.7199
2012-12-06,INFY,EQ,2382.5,2394.0,2394.0,2313.95,2339.0,2338.3,2333.89,1376491,321257175625000.0,86654,909134,0.6605
2012-12-07,INFY,EQ,2338.3,2321.0,2348.5,2311.1,2320.5,2321.15,2324.32,1185739,275604200690000.0,63732,773066,0.652
2012-12-10,INFY,EQ,2321.15,2320.95,2344.0,2299.0,2300.0,2313.55,2323.6,853740,198375360340000.0,45524,596729,0.6990000000000001
2012-12-11,INFY,EQ,2313.55,2316.0,2336.05,2282.85,2293.0,2294.05,2309.02,1423053,328586279730000.0,72544,1052849,0.7399
2012-12-12,INFY,EQ,2294.05,2310.0,2323.8,2286.25,2297.0,2297.8,2306.56,1919961,442849789835000.06,128228,1505568,0.7842
2012-12-13,INFY,EQ,2297.8,2304.95,2313.65,2272.4,2285.35,2283.55,2289.78,1245889,285281548195000.0,57377,902355,0.7243
2012-12-14,INFY,EQ,2283.55,2273.0,2295.05,2266.0,2281.5,2278.8,2278.44,1063499,242311862055000.03,66149,713437,0.6708
2012-12-17,INFY,EQ,2278.8,2267.0,2291.85,2256.95,2259.2,2266.25,2269.14,1370205,310919047280000.0,55788,1036533,0.7565000000000001
2012-12-18,INFY,EQ,2266.25,2260.0,2274.2,2245.0,2270.05,2271.0,2262.8,1036500,234539217525000.0,75649,705196,0.6804000000000001
2012-12-19,INFY,EQ,2271.0,2274.0,2299.9,2270.05,2299.0,2296.15,2284.75,1248987,285361930285000.0,85622,880340,0.7048000000000001
2012-12-20,INFY,EQ,2296.15,2306.1,2310.0,2278.0,2295.35,2299.6,2293.19,1055216,241981113375000.0,70890,669456,0.6344
2012-12-21,INFY,EQ,2299.6,2299.0,2321.3,2286.8,2289.0,2296.85,2304.79,865502,199479987480000.0,39328,543559,0.628
2012-12-24,INFY,EQ,2296.85,2321.1,2328.4,2313.0,2324.35,2322.3,2322.64,540499,125538553259999.98,30833,304497,0.5634
2012-12-26,INFY,EQ,2322.3,2323.0,2330.9,2304.35,2315.9,2315.25,2314.05,407945,94400653145000.0,22339,253398,0.6212
2012-12-27,INFY,EQ,2315.25,2327.8,2329.0,2276.65,2293.5,2287.75,2295.91,1013779,232754770519999.97,30328,538387,0.5311
2012-12-28,INFY,EQ,2287.75,2302.1,2325.5,2288.45,2323.0,2323.2,2316.42,883032,204547403180000.0,45301,639868,0.7245999999999999
2012-12-31,INFY,EQ,2323.2,2315.0,2324.1,2303.7,2313.9,2318.7,2315.72,431478,99918346665000.0,22335,263292,0.6102000000000001
2013-01-01,INFY,EQ,2318.7,2327.6,2329.9,2305.55,2307.1,2308.85,2318.02,369999,85766656290000.0,14479,195016,0.5271
2013-01-02,INFY,EQ,2308.85,2316.2,2328.0,2303.5,2309.2,2309.2,2315.36,543743,125895815790000.02,45625,321559,0.5914
2013-01-03,INFY,EQ,2309.2,2315.0,2348.85,2311.0,2346.95,2337.9,2329.97,1324911,308700493710000.0,60958,963493,0.7272
2013-01-04,INFY,EQ,2337.9,2348.4,2354.95,2332.0,2350.0,2349.55,2345.09,1056751,247817575600000.0,55290,710935,0.6728000000000001
2013-01-07,INFY,EQ,2349.55,2351.1,2379.9,2335.55,2373.3,2374.8,2367.82,1095203,259324270075000.0,52530,796335,0.7271
2013-01-08,INFY,EQ,2374.8,2365.0,2367.95,2323.5,2344.9,2344.0,2340.13,1608428,376393397925000.0,78336,1189336,0.7394
2013-01-09,INFY,EQ,2344.0,2340.2,2361.8,2323.3,2330.1,2331.0,2340.84,768746,179950909225000.0,59342,474789,0.6176
2013-01-10,INFY,EQ,2331.0,2331.0,2342.65,2309.2,2326.2,2322.3,2320.95,1362627,316258999375000.0,62125,891574,0.6543000000000001
2013-01-11,INFY,EQ,2322.3,2521.0,2722.0,2521.0,2718.0,2712.1,2650.08,11606571,3075828644405000.0,447907,4925415,0.4244
2013-01-14,INFY,EQ,2712.1,2759.8,2836.95,2752.25,2810.0,2806.5,2800.72,6365595,1782822536880000.0,234348,2321048,0.36460000000000004
2013-01-15,INFY,EQ,2806.5,2806.0,2809.45,2774.5,2789.5,2787.05,2789.09,2547235,710445796150000.0,110978,1698803,0.6668999999999999
2013-01-16,INFY,EQ,2787.05,2781.0,2788.8,2755.5,2767.45,2767.45,2766.96,1457603,403312843935000.0,60460,1093802,0.7504000000000001
2013-01-17,INFY,EQ,2767.45,2792.0,2806.65,2779.2,2793.9,2797.95,2797.65,1470884,411501150330000.0,78047,1056932,0.7186
2013-01-18,INFY,EQ,2797.95,2805.0,2810.0,2777.45,2788.0,2788.05,2790.44,911324,254299518200000.0,57762,686531,0.7533
2013-01-21,INFY,EQ,2788.05,2763.05,2810.6,2763.05,2800.0,2796.3,2791.08,737445,205826568590000.0,30471,464795,0.6303
2013-01-22,INFY,EQ,2796.3,2793.6,2798.65,2777.0,2787.75,2783.55,2786.96,638785,178027008250000.0,34478,479015,0.7499
2013-01-23,INFY,EQ,2783.55,2781.0,2798.0,2781.0,2789.0,2789.6,2790.87,932339,260203742080000.03,45504,787672,0.8448000000000001
2013-01-24,INFY,EQ,2789.6,2810.0,2828.0,2790.75,2794.0,2798.2,2804.66,1401412,393048922515000.0,65721,1114501,0.7953
2013-01-25,INFY,EQ,2798.2,2810.0,2828.0,2791.15,2824.0,2814.65,2806.23,1055317,296146471795000.0,58536,876627,0.8307
2013-01-28,INFY,EQ,2814.65,2812.0,2827.6,2801.0,2809.95,2810.65,2814.17,840376,236495734405000.03,42856,687903,0.8186
2013-01-29,INFY,EQ,2810.65,2806.0,2825.0,2788.55,2795.0,2799.0,2805.04,774648,217291840080000.03,55541,583057,0.7526999999999999
2013-01-30,INFY,EQ,2799.0,2804.75,2805.95,2780.55,2793.0,2790.65,2792.52,850691,237557195235000.0,40486,723311,0.8503000000000001
2013-01-31,INFY,EQ,2790.65,2792.0,2807.1,2770.0,2790.0,2789.5,2785.35,2185055,608614089465000.0,90825,1824077,0.8348000000000001
2013-02-01,INFY,EQ,2789.5,2791.1,2801.9,2752.0,2768.05,2770.95,2774.01,987456,273921165655000.03,42209,712718,0.7218000000000001
2013-02-04,INFY,EQ,2770.95,2781.0,2790.0,2745.0,2770.0,2767.6,2764.77,937502,259197529355000.03,45767,745274,0.795
2013-02-05,INFY,EQ,2767.6,2763.25,2782.35,2745.55,2750.75,2755.9,2761.91,770764,212877723735000.0,38173,581434,0.7544
2013-02-06,INFY,EQ,2755.9,2775.25,2788.05,2755.85,2784.55,2776.0,2766.9,1137168,314642628195000.0,45960,951494,0.8367
2013-02-07,INFY,EQ,2776.0,2786.0,2799.0,2780.05,2785.0,2789.5,2789.43,1338059,373242543380000.0,57743,1160488,0.8673000000000001
2013-02-08,INFY,EQ,2789.5,2783.15,2816.7,2772.25,2786.0,2789.45,2795.65,685337,191596137525000.0,41772,464198,0.6773
2013-02-11,INFY,EQ,2789.45,2801.25,2814.95,2784.9,2790.5,2792.05,2794.71,924349,258329034730000.03,39415,750516,0.8119
